threshold,coverage,n_covered,accuracy,macro_f1
0.0,1.0,48000,0.99125,0.9912499992556424
0.01,1.0,48000,0.99125,0.9912499992556424
0.02,1.0,48000,0.99125,0.9912499992556424
0.03,1.0,48000,0.99125,0.9912499992556424
0.04,1.0,48000,0.99125,0.9912499992556424
0.05,1.0,48000,0.99125,0.9912499992556424
0.06,1.0,48000,0.99125,0.9912499992556424
0.07,1.0,48000,0.99125,0.9912499992556424
0.08,1.0,48000,0.99125,0.9912499992556424
0.09,1.0,48000,0.99125,0.9912499992556424
0.1,1.0,48000,0.99125,0.9912499992556424
0.11,1.0,48000,0.99125,0.9912499992556424
0.12,1.0,48000,0.99125,0.9912499992556424
0.13,1.0,48000,0.99125,0.9912499992556424
0.14,1.0,48000,0.99125,0.9912499992556424
0.15,1.0,48000,0.99125,0.9912499992556424
0.16,1.0,48000,0.99125,0.9912499992556424
0.17,1.0,48000,0.99125,0.9912499992556424
0.18,1.0,48000,0.99125,0.9912499992556424
0.19,1.0,48000,0.99125,0.9912499992556424
0.2,1.0,48000,0.99125,0.9912499992556424
0.21,1.0,48000,0.99125,0.9912499992556424
0.22,1.0,48000,0.99125,0.9912499992556424
0.23,1.0,48000,0.99125,0.9912499992556424
0.24,1.0,48000,0.99125,0.9912499992556424
0.25,1.0,48000,0.99125,0.9912499992556424
0.26,1.0,48000,0.99125,0.9912499992556424
0.27,1.0,48000,0.99125,0.9912499992556424
0.28,1.0,48000,0.99125,0.9912499992556424
0.29,1.0,48000,0.99125,0.9912499992556424
0.3,1.0,48000,0.99125,0.9912499992556424
0.31,1.0,48000,0.99125,0.9912499992556424
0.32,1.0,48000,0.99125,0.9912499992556424
0.33,1.0,48000,0.99125,0.9912499992556424
0.34,1.0,48000,0.99125,0.9912499992556424
0.35,1.0,48000,0.99125,0.9912499992556424
0.36,1.0,48000,0.99125,0.9912499992556424
0.37,1.0,48000,0.99125,0.9912499992556424
0.38,1.0,48000,0.99125,0.9912499992556424
0.39,1.0,48000,0.99125,0.9912499992556424
0.4,1.0,48000,0.99125,0.9912499992556424
0.41,1.0,48000,0.99125,0.9912499992556424
0.42,1.0,48000,0.99125,0.9912499992556424
0.43,1.0,48000,0.99125,0.9912499992556424
0.44,1.0,48000,0.99125,0.9912499992556424
0.45,1.0,48000,0.99125,0.9912499992556424
0.46,1.0,48000,0.99125,0.9912499992556424
0.47,1.0,48000,0.99125,0.9912499992556424
0.48,1.0,48000,0.99125,0.9912499992556424
0.49,1.0,48000,0.99125,0.9912499992556424
0.5,1.0,48000,0.99125,0.9912499992556424
0.51,0.9995,47976,0.991474904118726,0.991474904115022
0.52,0.998875,47946,0.9918032786885246,0.9918032780859344
0.53,0.9981666666666666,47912,0.992194022374353,0.9921940197083852
0.54,0.9975625,47883,0.9925025583192364,0.9925025561087024
0.55,0.9970208333333334,47857,0.9927701276720228,0.9927701242343244
0.56,0.9964791666666668,47831,0.9929961740293952,0.9929961708945464
0.5700000000000001,0.9958541666666668,47801,0.9932428191878832,0.9932428161596332
0.58,0.9951041666666668,47765,0.9934261488537632,0.9934261457159406
0.59,0.9945416666666668,47738,0.99359001214965,0.993590009618188
0.6,0.9940208333333334,47713,0.9937962400184436,0.9937962373996267
0.61,0.9933541666666666,47681,0.9940437490824438,0.994043747445015
0.62,0.9925833333333334,47644,0.9942490135169172,0.9942490118042508
0.63,0.992,47616,0.9944346438172044,0.994434642027774
0.64,0.991375,47586,0.9946833102172908,0.9946833076604068
0.65,0.9907083333333332,47554,0.9949320772174792,0.994932074472164
0.66,0.9899375,47517,0.99507544668224,0.9950754450922424
0.67,0.9892083333333334,47482,0.9952613622004128,0.9952613599115298
0.68,0.9883333333333332,47440,0.9954468802698144,0.9954468791045022
0.6900000000000001,0.9875833333333334,47404,0.9956543751582144,0.9956543746631494
0.7000000000000001,0.9865833333333334,47356,0.9959033702170792,0.9959033700344052
0.71,0.9858333333333332,47320,0.9961327134404058,0.996132713355778
0.72,0.9848541666666668,47273,0.9963827131766548,0.9963827127622767
0.73,0.9838958333333332,47227,0.99661210748089,0.9966121074064608
0.74,0.9832916666666668,47198,0.996737149879232,0.9967371497327616
0.75,0.9824166666666668,47156,0.996861481041649,0.996861480765014
0.76,0.9814583333333332,47110,0.9969645510507325,0.9969645507429956
0.77,0.9803125,47055,0.9971735203485284,0.9971735198379124
0.78,0.9790416666666668,46994,0.9973188066561688,0.9973188060685594
