run,task,best_model,labels,accuracy,macro_f1,auc
outputs_4gen_10pct_best,binary_ai_vs_nature,lightgbm,ai|nature,0.895625,0.8956021584410027,0.9620213541666668
outputs_4gen_10pct_best,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.8895833333333333,0.8893082523450415,
outputs_4gen_10pct_best_seed123,binary_ai_vs_nature,lightgbm,ai|nature,0.895,0.894991176341901,0.9600230902777778
outputs_4gen_10pct_best_seed123,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.8870833333333333,0.8861169184545257,
outputs_4gen_10pct_best_seed2026,binary_ai_vs_nature,lightgbm,ai|nature,0.891875,0.8918361239124184,0.961778125
outputs_4gen_10pct_best_seed2026,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.89375,0.8931673571141301,
outputs_4gen_10pct_enhanced_large,binary_ai_vs_nature,lightgbm,ai|nature,0.89625,0.8962239839293045,0.9614557291666666
outputs_4gen_10pct_enhanced_large,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.8879166666666667,0.8875620837030835,
outputs_4gen_10pct_enhanced_regularized,binary_ai_vs_nature,lightgbm,ai|nature,0.896875,0.8968484554901303,0.962092534722222
outputs_4gen_10pct_enhanced_regularized,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.8866666666666667,0.8863481390274777,
outputs_4gen_10pct_enhanced_wide,binary_ai_vs_nature,lightgbm,ai|nature,0.9014583333333334,0.9014391302194252,0.9638649305555556
outputs_4gen_10pct_enhanced_wide,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.8904166666666666,0.8901693021392978,
outputs_4gen_1pct,binary_ai_vs_nature,lightgbm,ai|nature,0.8729166666666667,0.8728896336460445,0.94359375
outputs_4gen_1pct,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.8833333333333333,0.8799095946340041,
outputs_4gen_1pct_robust,binary_ai_vs_nature,lightgbm,ai|nature,0.8729166666666667,0.8728896336460445,0.94359375
outputs_4gen_1pct_robust,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.8833333333333333,0.8799095946340041,
outputs_4gen_20pct_best,binary_ai_vs_nature,lightgbm,ai|nature,0.8980208333333334,0.8979962610133545,0.9633293836805557
outputs_4gen_20pct_best,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.903125,0.902671231044436,
outputs_4gen_50pct_best,binary_ai_vs_nature,lightgbm,ai|nature,0.89925,0.8992366740501432,0.9634945416666666
outputs_4gen_50pct_best,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.9045833333333332,0.9042502268230116,
outputs_4gen_5pct,binary_ai_vs_nature,lightgbm,ai|nature,0.8795833333333334,0.8795657490963524,0.9564506944444444
outputs_4gen_5pct,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.8791666666666667,0.8781396179492571,
outputs_4gen_5pct_ablation_band_slope,binary_ai_vs_nature,lightgbm,ai|nature,0.82375,0.8234495884403306,0.9010638888888888
outputs_4gen_5pct_ablation_band_slope,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.815,0.8107226339642761,
outputs_4gen_5pct_ablation_dct_radial,binary_ai_vs_nature,lightgbm,ai|nature,0.7945833333333333,0.7932182506914134,0.8830847222222222
outputs_4gen_5pct_ablation_dct_radial,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.6958333333333333,0.6916679110736088,
outputs_4gen_5pct_ablation_fft_angular,binary_ai_vs_nature,random_forest,ai|nature,0.7966666666666666,0.794472085266007,0.8655416666666667
outputs_4gen_5pct_ablation_fft_angular,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.7366666666666667,0.7306069237392844,
outputs_4gen_5pct_ablation_fft_radial,binary_ai_vs_nature,lightgbm,ai|nature,0.87625,0.8762236760422139,0.9466833333333332
outputs_4gen_5pct_ablation_fft_radial,ai_subsource_attribution,random_forest,ADM|BigGAN|VQDM|glide,0.8583333333333333,0.8576928100855825,
outputs_4gen_5pct_ablation_high_freq_all,binary_ai_vs_nature,lightgbm,ai|nature,0.8104166666666667,0.8094719319179704,0.8876673611111112
outputs_4gen_5pct_ablation_high_freq_all,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.7808333333333334,0.7750315669946074,
outputs_4gen_5pct_ablation_high_freq_stats,binary_ai_vs_nature,lightgbm,ai|nature,0.8116666666666666,0.8106715087847163,0.8873534722222223
outputs_4gen_5pct_ablation_high_freq_stats,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.7616666666666667,0.755932719031319,
outputs_4gen_5pct_ablation_no_dct,binary_ai_vs_nature,lightgbm,ai|nature,0.8791666666666667,0.8791524838678983,0.9541916666666668
outputs_4gen_5pct_ablation_no_dct,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.88,0.8792183710590001,
outputs_4gen_5pct_ablation_patch_high_freq,binary_ai_vs_nature,lightgbm,ai|nature,0.7783333333333333,0.7727557494503992,0.8242069444444444
outputs_4gen_5pct_ablation_patch_high_freq,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.5408333333333334,0.5316758572871106,
outputs_4gen_5pct_seed123,binary_ai_vs_nature,lightgbm,ai|nature,0.9054166666666666,0.9053987811237229,0.9593673611111112
outputs_4gen_5pct_seed123,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.8925,0.892102760141319,
outputs_4gen_5pct_seed2026,binary_ai_vs_nature,lightgbm,ai|nature,0.8845833333333334,0.8844705115672857,0.9547486111111112
