feature_set,task,best_model,accuracy,macro_f1,auc,run
no_dct,ai_subsource_attribution,lightgbm,0.88,0.8792183710590001,,outputs_4gen_5pct_ablation_no_dct
fft_radial,ai_subsource_attribution,random_forest,0.8583333333333333,0.8576928100855825,,outputs_4gen_5pct_ablation_fft_radial
band_slope,ai_subsource_attribution,lightgbm,0.815,0.8107226339642761,,outputs_4gen_5pct_ablation_band_slope
high_freq_all,ai_subsource_attribution,lightgbm,0.7808333333333334,0.7750315669946074,,outputs_4gen_5pct_ablation_high_freq_all
high_freq_stats,ai_subsource_attribution,lightgbm,0.7616666666666667,0.755932719031319,,outputs_4gen_5pct_ablation_high_freq_stats
fft_angular,ai_subsource_attribution,lightgbm,0.7366666666666667,0.7306069237392844,,outputs_4gen_5pct_ablation_fft_angular
dct_radial,ai_subsource_attribution,lightgbm,0.6958333333333333,0.6916679110736088,,outputs_4gen_5pct_ablation_dct_radial
patch_high_freq,ai_subsource_attribution,lightgbm,0.5408333333333334,0.5316758572871106,,outputs_4gen_5pct_ablation_patch_high_freq
no_dct,binary_ai_vs_nature,lightgbm,0.8791666666666667,0.8791524838678983,0.9541916666666668,outputs_4gen_5pct_ablation_no_dct
fft_radial,binary_ai_vs_nature,lightgbm,0.87625,0.8762236760422139,0.9466833333333332,outputs_4gen_5pct_ablation_fft_radial
band_slope,binary_ai_vs_nature,lightgbm,0.82375,0.8234495884403306,0.9010638888888888,outputs_4gen_5pct_ablation_band_slope
high_freq_stats,binary_ai_vs_nature,lightgbm,0.8116666666666666,0.8106715087847163,0.8873534722222223,outputs_4gen_5pct_ablation_high_freq_stats
high_freq_all,binary_ai_vs_nature,lightgbm,0.8104166666666667,0.8094719319179704,0.8876673611111112,outputs_4gen_5pct_ablation_high_freq_all
fft_angular,binary_ai_vs_nature,random_forest,0.7966666666666666,0.794472085266007,0.8655416666666667,outputs_4gen_5pct_ablation_fft_angular
dct_radial,binary_ai_vs_nature,lightgbm,0.7945833333333333,0.7932182506914134,0.8830847222222222,outputs_4gen_5pct_ablation_dct_radial
patch_high_freq,binary_ai_vs_nature,lightgbm,0.7783333333333333,0.7727557494503992,0.8242069444444444,outputs_4gen_5pct_ablation_patch_high_freq
