profile,feature_set,task,best_model,accuracy,macro_f1,auc,run
wide,all,ai_subsource_attribution,lightgbm,0.8808333333333334,0.8797190826454865,,outputs_4gen_5pct_tune_wide_all
regularized,all,ai_subsource_attribution,lightgbm,0.8791666666666667,0.8783545538689547,,outputs_4gen_5pct_tune_regularized_all
baseline,all,ai_subsource_attribution,lightgbm,0.8791666666666667,0.8781396179492571,,outputs_4gen_5pct_tune_baseline_all
regularized,no_dct,ai_subsource_attribution,lightgbm,0.8766666666666667,0.8760543511433309,,outputs_4gen_5pct_tune_regularized_no_dct
baseline,no_dct,ai_subsource_attribution,lightgbm,0.8766666666666667,0.8758469834171987,,outputs_4gen_5pct_tune_baseline_no_dct
wide,no_dct,ai_subsource_attribution,lightgbm,0.8766666666666667,0.8757504679192817,,outputs_4gen_5pct_tune_wide_no_dct
large,all,ai_subsource_attribution,lightgbm,0.8758333333333334,0.8752788475904498,,outputs_4gen_5pct_tune_large_all
large,no_dct,ai_subsource_attribution,lightgbm,0.87,0.8692591891637045,,outputs_4gen_5pct_tune_large_no_dct
large,all,binary_ai_vs_nature,lightgbm,0.8908333333333334,0.8908241595300717,0.9585548611111112,outputs_4gen_5pct_tune_large_all
wide,all,binary_ai_vs_nature,lightgbm,0.8883333333333333,0.8883305415968732,0.9597631944444444,outputs_4gen_5pct_tune_wide_all
regularized,no_dct,binary_ai_vs_nature,lightgbm,0.8866666666666667,0.8866382475051037,0.9553652777777778,outputs_4gen_5pct_tune_regularized_no_dct
wide,no_dct,binary_ai_vs_nature,lightgbm,0.88625,0.8862455564670495,0.9570875,outputs_4gen_5pct_tune_wide_no_dct
regularized,all,binary_ai_vs_nature,lightgbm,0.8854166666666666,0.8854078932084904,0.958913888888889,outputs_4gen_5pct_tune_regularized_all
large,no_dct,binary_ai_vs_nature,lightgbm,0.885,0.8849865018880687,0.9559368055555556,outputs_4gen_5pct_tune_large_no_dct
baseline,all,binary_ai_vs_nature,lightgbm,0.8795833333333334,0.8795657490963524,0.9564506944444444,outputs_4gen_5pct_tune_baseline_all
baseline,no_dct,binary_ai_vs_nature,lightgbm,0.8791666666666667,0.8791524838678983,0.9541958333333334,outputs_4gen_5pct_tune_baseline_no_dct
