run,feature_profile,model_architecture,train_augmentation,sample_fraction,sample_seed,calibrate_threshold,lgbm_profile,binary_ai_vs_nature_model,binary_ai_vs_nature_accuracy,binary_ai_vs_nature_macro_f1,binary_ai_vs_nature_auc,ai_subsource_attribution_model,ai_subsource_attribution_accuracy,ai_subsource_attribution_macro_f1,ai_subsource_attribution_auc,combined_macro_f1,selected,selection_status
outputs_v2_full_best,fusion_freq,flat,none,1.0,42,True,wide,lightgbm,0.99125,0.9912499992556424,0.9996183090277778,lightgbm,0.9990833333333332,0.9990832351600708,,0.9951666172078566,True,selected_v2_best
outputs_v2_5pct_fusion_freq_binary_expert_ensemble,fusion_freq,binary_expert_ensemble,none,0.05,42,True,wide,lightgbm_binary_expert_ensemble,0.9925,0.9924999791666088,0.9993097222222224,lightgbm,0.9975,0.9974986064776106,,0.9949992928221096,False,not_selected
outputs_v2_50pct_best,fusion_freq,flat,none,0.5,42,True,wide,lightgbm,0.991125,0.9911249996148004,0.9995574097222224,lightgbm,0.9984166666666666,0.9984164142285988,,0.9947707069216996,False,not_selected
outputs_v2_20pct_best,fusion_freq,flat,none,0.2,42,True,wide,lightgbm,0.9910416666666668,0.9910416526692488,0.9995250868055556,lightgbm,0.9972916666666668,0.9972899840698772,,0.994165818369563,False,not_selected
outputs_v2_20pct_fusion_flat_seed123,fusion_freq,flat,none,0.2,123,True,wide,lightgbm,0.9891666666666666,0.9891666549117348,0.9994598090277778,lightgbm,0.9970833333333332,0.997080703185736,,0.9931236790487354,False,not_selected
outputs_v2_5pct_fusion_freq_pairwise_ovo_attribution,fusion_freq,pairwise_ovo_attribution,none,0.05,42,True,wide,lightgbm,0.9870833333333332,0.987083331090856,0.9989402777777776,lightgbm_pairwise_ovo,0.9975,0.9974986064776106,,0.9922909687842333,False,not_selected
outputs_v2_5pct_fusion_freq_flat,fusion_freq,flat,none,0.05,42,True,wide,lightgbm,0.9870833333333332,0.987083331090856,0.9989402777777776,lightgbm,0.9966666666666668,0.9966652731442772,,0.9918743021175667,False,not_selected
outputs_v2_5pct_color_freq_flat,color_freq,flat,none,0.05,42,True,wide,lightgbm,0.9833333333333332,0.9833333333333332,0.9983520833333334,lightgbm,0.9941666666666666,0.9941610740119337,,0.9887472036726335,False,not_selected
outputs_v2_smoke_fusion_freq,fusion_freq,flat,none,0.001,42,True,wide,lightgbm,0.9583333333333334,0.9583333333333334,0.9913194444444444,lightgbm,1.0,1.0,,0.9791666666666667,False,not_selected
outputs_v2_5pct_block_dct_flat,block_dct,flat,none,0.05,42,True,wide,lightgbm,0.93625,0.9362460043068672,0.9850909722222224,lightgbm,0.9766666666666668,0.9766393911492632,,0.9564426977280652,False,not_selected
outputs_v2_smoke_color_freq,color_freq,flat,none,0.001,42,True,wide,lightgbm,0.9583333333333334,0.9583333333333334,0.9965277777777776,lightgbm,0.9166666666666666,0.9166666666666669,,0.9375000000000001,False,not_selected
outputs_v2_smoke_block_dct,block_dct,flat,none,0.001,42,True,wide,lightgbm,0.875,0.8741258741258742,0.965277777777778,lightgbm,0.9583333333333334,0.958041958041958,,0.916083916083916,False,not_selected
outputs_v2_5pct_multiscale_freq_flat,multiscale_freq,flat,none,0.05,42,True,wide,lightgbm,0.9204166666666668,0.9204033867456012,0.9757020833333332,lightgbm,0.9016666666666666,0.900663155027844,,0.9105332708867226,False,not_selected
outputs_v2_5pct_residual_freq_flat,residual_freq,flat,none,0.05,42,True,wide,lightgbm,0.90875,0.9087499841579834,0.9680486111111112,lightgbm,0.8958333333333334,0.8951162258650762,,0.9019331050115298,False,not_selected
outputs_v2_model_smoke_binary_expert_ensemble,baseline,binary_expert_ensemble,none,0.01,42,True,wide,lightgbm_binary_expert_ensemble,0.9125,0.9125,0.9604513888888888,lightgbm,0.8791666666666667,0.8759265428743431,,0.8942132714371716,False,not_selected
outputs_v2_model_smoke_hierarchical_attribution,baseline,hierarchical_attribution,none,0.01,42,True,wide,lightgbm,0.8770833333333333,0.8770785317134784,0.9422222222222224,lightgbm_hierarchical,0.8833333333333333,0.880113527111119,,0.8785960294122988,False,not_selected
outputs_v2_model_smoke_pairwise_ovo_attribution,baseline,pairwise_ovo_attribution,none,0.01,42,True,wide,lightgbm,0.8791666666666667,0.8791141988710378,0.9422395833333332,lightgbm_pairwise_ovo,0.8791666666666667,0.8765158714160931,,0.8778150351435654,False,not_selected
outputs_v2_smoke_residual_freq,residual_freq,flat,none,0.001,42,True,wide,lightgbm,0.9166666666666666,0.9165217391304348,0.9739583333333334,lightgbm,0.8333333333333334,0.8057692307692308,,0.8611454849498328,False,not_selected
outputs_v2_smoke_multiscale_freq,multiscale_freq,flat,none,0.001,42,True,wide,lightgbm,0.8958333333333334,0.8954248366013071,0.9652777777777778,lightgbm,0.8333333333333334,0.8223276723276723,,0.8588762544644897,False,not_selected
outputs_v2_20pct_best_mild_aug,fusion_freq,flat,mild_freq,0.2,42,True,wide,lightgbm,0.9846875,0.9846865653421228,0.9986875434027778,,,,,,False,not_selected
outputs_v2_5pct_fusion_freq_hierarchical_attribution,fusion_freq,hierarchical_attribution,none,0.05,42,True,wide,lightgbm,0.9875,0.9874998611095678,0.9989402777777776,,,,,,False,not_selected
outputs_v2_full_best_robust_20pct,,,none,0.2,42,False,,,,,,,,,,,False,not_selected
outputs_v2_full_best_robust_smoke,,,none,0.01,42,False,,,,,,,,,,,False,not_selected
