task,attack,level,n_samples,accuracy,macro_f1,auc,positive_rate,mean_ai_probability,skipped_images,model_output,feature_profile,true_distribution,prediction_distribution
ai_subsource_attribution,clean,none,4800,0.9991666666666666,0.999166579499406,,,,0,outputs_v2_full_best,fusion_freq,"{""ADM"": 1200, ""BigGAN"": 1200, ""VQDM"": 1200, ""glide"": 1200}","{""ADM"": 1199, ""BigGAN"": 1201, ""VQDM"": 1202, ""glide"": 1198}"
ai_subsource_attribution,jpeg,95,4800,0.37375,0.2951705285945895,,,,0,outputs_v2_full_best,fusion_freq,"{""ADM"": 1200, ""BigGAN"": 1200, ""VQDM"": 1200, ""glide"": 1200}","{""ADM"": 2577, ""BigGAN"": 12, ""VQDM"": 1342, ""glide"": 869}"
ai_subsource_attribution,jpeg,75,4800,0.3604166666666666,0.2586856720772427,,,,0,outputs_v2_full_best,fusion_freq,"{""ADM"": 1200, ""BigGAN"": 1200, ""VQDM"": 1200, ""glide"": 1200}","{""ADM"": 2744, ""BigGAN"": 7, ""VQDM"": 1814, ""glide"": 235}"
ai_subsource_attribution,jpeg,50,4800,0.3558333333333333,0.2526229336519835,,,,0,outputs_v2_full_best,fusion_freq,"{""ADM"": 1200, ""BigGAN"": 1200, ""VQDM"": 1200, ""glide"": 1200}","{""ADM"": 2678, ""BigGAN"": 9, ""VQDM"": 1876, ""glide"": 237}"
ai_subsource_attribution,resize,0.5,4800,0.27875,0.1551099699718885,,,,0,outputs_v2_full_best,fusion_freq,"{""ADM"": 1200, ""BigGAN"": 1200, ""VQDM"": 1200, ""glide"": 1200}","{""BigGAN"": 4624, ""glide"": 176}"
ai_subsource_attribution,resize,0.75,4800,0.365625,0.2858256838419318,,,,0,outputs_v2_full_best,fusion_freq,"{""ADM"": 1200, ""BigGAN"": 1200, ""VQDM"": 1200, ""glide"": 1200}","{""ADM"": 605, ""BigGAN"": 112, ""VQDM"": 33, ""glide"": 4050}"
ai_subsource_attribution,resize,1.5,4800,0.6322916666666667,0.6281927435658483,,,,0,outputs_v2_full_best,fusion_freq,"{""ADM"": 1200, ""BigGAN"": 1200, ""VQDM"": 1200, ""glide"": 1200}","{""ADM"": 909, ""BigGAN"": 389, ""VQDM"": 751, ""glide"": 2751}"
ai_subsource_attribution,noise,2,4800,0.3004166666666666,0.1886679932653848,,,,0,outputs_v2_full_best,fusion_freq,"{""ADM"": 1200, ""BigGAN"": 1200, ""VQDM"": 1200, ""glide"": 1200}","{""ADM"": 4555, ""VQDM"": 238, ""glide"": 7}"
ai_subsource_attribution,noise,5,4800,0.2527083333333333,0.1055757521345713,,,,0,outputs_v2_full_best,fusion_freq,"{""ADM"": 1200, ""BigGAN"": 1200, ""VQDM"": 1200, ""glide"": 1200}","{""ADM"": 4787, ""VQDM"": 13}"
ai_subsource_attribution,noise,10,4800,0.25,0.1,,,,0,outputs_v2_full_best,fusion_freq,"{""ADM"": 1200, ""BigGAN"": 1200, ""VQDM"": 1200, ""glide"": 1200}","{""ADM"": 4800}"
