task,attack,level,n_samples,accuracy,macro_f1,auc,positive_rate,mean_ai_probability,skipped_images,model_output,feature_profile,true_distribution,prediction_distribution
binary_ai_vs_nature,clean,none,9600,0.9908333333333332,0.9908333269675882,0.9996284288194444,0.4991666666666666,0.5004482689261148,0,outputs_v2_full_best,fusion_freq,"{""ai"": 4800, ""nature"": 4800}","{""ai"": 4792, ""nature"": 4808}"
binary_ai_vs_nature,jpeg,95,9600,0.6836458333333333,0.6607295225256073,0.787742578125,0.2401041666666666,0.2446555461798376,0,outputs_v2_full_best,fusion_freq,"{""ai"": 4800, ""nature"": 4800}","{""ai"": 2305, ""nature"": 7295}"
binary_ai_vs_nature,jpeg,75,9600,0.6125,0.5799597122648753,0.6658280381944444,0.2216666666666666,0.2235063092922994,0,outputs_v2_full_best,fusion_freq,"{""ai"": 4800, ""nature"": 4800}","{""ai"": 2128, ""nature"": 7472}"
binary_ai_vs_nature,jpeg,50,9600,0.59875,0.5665647216089765,0.6339508680555556,0.2275,0.2300897828897901,0,outputs_v2_full_best,fusion_freq,"{""ai"": 4800, ""nature"": 4800}","{""ai"": 2184, ""nature"": 7416}"
binary_ai_vs_nature,resize,0.5,9600,0.5110416666666666,0.3671181545170778,0.4125422743055555,0.976875,0.963751611529892,0,outputs_v2_full_best,fusion_freq,"{""ai"": 4800, ""nature"": 4800}","{""ai"": 9378, ""nature"": 222}"
binary_ai_vs_nature,resize,0.75,9600,0.6745833333333333,0.6379417673257222,0.7922085503472222,0.181875,0.1810952117083243,0,outputs_v2_full_best,fusion_freq,"{""ai"": 4800, ""nature"": 4800}","{""ai"": 1746, ""nature"": 7854}"
binary_ai_vs_nature,resize,1.5,9600,0.8185416666666666,0.8135550325491583,0.9198922309027778,0.3364583333333333,0.3453125199158324,0,outputs_v2_full_best,fusion_freq,"{""ai"": 4800, ""nature"": 4800}","{""ai"": 3230, ""nature"": 6370}"
binary_ai_vs_nature,noise,2,9600,0.7603125,0.7480851587939001,0.815550390625,0.7203125,0.674130280949078,0,outputs_v2_full_best,fusion_freq,"{""ai"": 4800, ""nature"": 4800}","{""ai"": 6915, ""nature"": 2685}"
binary_ai_vs_nature,noise,5,9600,0.5298958333333333,0.4339127928472797,0.5630538628472223,0.9117708333333332,0.798438270274183,0,outputs_v2_full_best,fusion_freq,"{""ai"": 4800, ""nature"": 4800}","{""ai"": 8753, ""nature"": 847}"
binary_ai_vs_nature,noise,10,9600,0.4477083333333333,0.3377351090326336,0.4207010416666666,0.9075,0.7863537089834418,0,outputs_v2_full_best,fusion_freq,"{""ai"": 4800, ""nature"": 4800}","{""ai"": 8712, ""nature"": 888}"
