feature,importance
block_dct_zigzag_std_9,4828.0
color_ycbcr_cr_band_mid,4042.0
color_ycbcr_cb_band_mid,4035.0
block_dct_zigzag_std_5,3299.0
color_ycbcr_cr_hf_std,2806.0
color_ycbcr_cb_hf_skew,2778.0
color_ycbcr_cb_hf_std,2535.0
block_dct_band_high_std,2400.0
color_ycbcr_cr_hf_skew,1978.0
scale_384_hf_skew,1632.0
block_dct_band_mid_mean,1614.0
scale_384_hf_std,1564.0
block_dct_band_high_mean,1558.0
block_dct_band_mid_std,1550.0
block_dct_band_low_mean,1398.0
color_ycbcr_cr_hf_kurtosis,1391.0
color_ycbcr_cb_band_high,1365.0
color_ycbcr_cr_band_high,1243.0
color_ycbcr_cb_hf_kurtosis,1195.0
color_ycbcr_cr_fft_radial_61,1176.0
