feature,importance
color_ycbcr_cr_hf_std,751.0
color_ycbcr_cr_band_mid,697.0
block_dct_zigzag_std_9,683.0
color_ycbcr_cr_hf_skew,645.0
block_dct_zigzag_std_5,627.0
color_ycbcr_cb_hf_skew,590.0
color_ycbcr_cr_band_high,583.0
color_ycbcr_cb_hf_std,557.0
color_ycbcr_cb_band_mid,550.0
block_dct_band_mid_mean,547.0
residual_median_band_mid,524.0
block_dct_band_mid_std,521.0
block_dct_band_high_std,505.0
color_ycbcr_cb_fft_radial_59,495.0
color_ycbcr_cb_dct_radial_2,482.0
color_ycbcr_cb_fft_radial_60,482.0
color_ycbcr_cr_fft_radial_63,465.0
residual_laplace_hf_std,457.0
scale_384_dct_radial_1,445.0
color_ycbcr_cb_band_high,440.0
